,SGP,THA,USA,VNM
1960,704462302.4,2760747472.0,543300000000.0,
1961,764308114.5,3034043574.0,563300000000.0,
1962,825885273.7,3308912797.0,605100000000.0,
1963,917222004.4,3540403457.0,638600000000.0,
1964,893734483.2,3889129942.0,685800000000.0,
1965,974193126.9,4388937649.0,743700000000.0,
1966,1095910101.0,5279230817.0,815000000000.0,
1967,1237423233.0,5638461442.0,861700000000.0,
1968,1425029400.0,6081009428.0,942500000000.0,
1969,1659055272.0,6695336567.0,1019900000000.0,
1970,1919508689.0,7086538438.0,1075880000000.0,
1971,2262544100.0,7375000024.0,1167770000000.0,
1972,2719900351.0,8177884553.0,1282450000000.0,
1973,3693760000.0,10838587358.0,1428550000000.0,
1974,5216773826.0,13703000530.0,1548830000000.0,
1975,5633386680.0,14882747955.0,1688920000000.0,
1976,6326445410.0,16985211146.0,1877590000000.0,
1977,6617532783.0,19779315170.0,2085950000000.0,
1978,7515823563.0,24006570178.0,2356570000000.0,
1979,9294635004.0,27371699083.0,2632140000000.0,
1980,11893405684.0,32353440727.0,2862510000000.0,
1981,14171819540.0,34846107862.0,3210960000000.0,
1982,16078856440.0,36589797857.0,3344990000000.0,
1983,17775280374.0,40042826244.0,3638140000000.0,
1984,19735920492.0,41797592963.0,4040690000000.0,
1985,19138296376.0,38900692712.0,4346730000000.0,14094687821.0
1986,18569292305.0,43096746122.0,4590160000000.0,26336616250.0
1987,20897630201.0,50535438696.0,4870220000000.0,36658108850.0
1988,25337226971.0,61667199835.0,5252630000000.0,25423812649.0
1989,30423573842.0,72250877410.0,5657690000000.0,6293304975.0
1990,36152027893.0,85343063966.0,5979590000000.0,6471740806.0
1991,45474442836.0,98234695722.0,6174040000000.0,9613369520.0
1992,52156414979.0,111453000000.0,6539300000000.0,9866990236.0
1993,60644572348.0,128890000000.0,6878720000000.0,13180953598.0
1994,73777792327.0,146683000000.0,7308760000000.0,16286433533.0
1995,87890009877.0,169279000000.0,7664060000000.0,20736164459.0
1996,96403758865.0,183035000000.0,8100200000000.0,24657470575.0
1997,100164000000.0,150180000000.0,8608520000000.0,26843700442.0
1998,85707636233.0,113676000000.0,9089170000000.0,27209602050.0
1999,86283126844.0,126669000000.0,9660620000000.0,28683659007.0
2000,95833932715.0,126392000000.0,10284800000000.0,31172518403.0
2001,89286208629.0,120297000000.0,10621800000000.0,32685198735.0
2002,91941192896.0,134301000000.0,10977500000000.0,35064105501.0
2003,97001377569.0,152281000000.0,11510700000000.0,39552513316.0
2004,114189000000.0,172895000000.0,12274900000000.0,45427854693.0
2005,127418000000.0,189318000000.0,13093700000000.0,57633255618.0
2006,147797000000.0,221758000000.0,13855900000000.0,66371664817.0
2007,179981000000.0,262943000000.0,14477600000000.0,77414425532.0
2008,192226000000.0,291383000000.0,14718600000000.0,99130304099.0
2009,192408000000.0,281710000000.0,14418700000000.0,106015000000.0
2010,236422000000.0,341105000000.0,14964400000000.0,115932000000.0
2011,275967000000.0,370819000000.0,15517900000000.0,135539000000.0
2012,290674000000.0,397558000000.0,16155300000000.0,155820000000.0
2013,304454000000.0,420333000000.0,16691500000000.0,171222000000.0
2014,311539000000.0,407339000000.0,17427600000000.0,186205000000.0
2015,304098000000.0,401399000000.0,18120700000000.0,193241000000.0
2016,309764000000.0,411755000000.0,18624500000000.0,205276000000.0
2017,323907000000.0,455221000000.0,19390600000000.0,223864000000.0
