TA,TB,TC,light,region,product
25,33.66,4,no,S,495.52
25,26.695,4,no,W,536.58
36,29.04,4,no,S,1147.42
39,29.6,4,no,E,1189.95
40,30.875,4,no,W,1292.97
24,33.63,4,no,N,1884.12
47,28.215,4,no,N,2622.59
48,35.625,4,no,N,2705.7
49,41.47,4,no,S,2766.26
48,41.23,4,no,W,2780.5
51,24.415,4,no,W,2903.07
26,29.64,4,no,N,2713.89
57,28.785,4,no,N,3627.39
56,33.66,4,no,S,5783.2
21,25.7,4,yes,E,1973.63
37,34.1,4,yes,E,6364.86
22,34.8,3,no,E,378.74
18,30.4,3,no,N,348.19
23,37.1,3,no,E,395.74
21,20.235,3,no,N,424.73
25,26.8,3,no,E,429.67
22,19.95,3,no,N,440.59
24,30.1,3,no,E,465.84
27,30.3,3,no,E,468.68
25,24.3,3,no,E,483.09
28,33.0,3,no,S,489.45
23,34.96,3,no,W,491.33
24,30.21,3,no,W,507.99
26,27.265,3,no,N,512.74
27,18.905,3,no,N,531.07
30,31.57,3,no,S,532.14
27,32.585,3,no,N,533.16
29,38.83,3,no,S,565.21
29,22.515,3,no,N,573.06
32,30.8,3,no,E,832.15
30,30.9,3,no,E,585.83
30,37.43,3,no,N,597.16
35,28.9,3,no,E,938.81
35,34.32,3,no,S,940.01
33,38.9,3,no,E,946.03
31,30.495,3,no,N,968.33
32,33.155,3,no,W,970.81
34,29.26,3,no,S,979.6
34,38.0,3,no,E,981.51
32,37.145,3,no,N,1003.36
33,42.94,3,no,W,1007.58
35,27.7,3,no,E,1016.0
37,46.53,3,no,S,1019.4
33,36.29,3,no,N,1037.81
38,21.12,3,no,S,1053.76
36,27.55,3,no,N,1068.67
36,28.88,3,no,N,1068.98
34,19.0,3,no,N,1069.68
37,30.875,3,no,W,1076.63
38,28.0,3,no,E,1132.73
40,35.3,3,no,E,1139.99
37,27.74,3,no,W,1153.39
40,33.0,3,no,S,1216.93
39,34.1,3,no,E,1222.61
39,22.8,3,no,N,1264.96
39,23.275,3,no,N,1265.06
40,23.37,3,no,N,1307.17
40,28.69,3,no,W,1355.85
43,30.115,3,no,W,1816.56
43,34.4,3,no,E,1840.75
41,33.155,3,no,N,1844.27
43,27.36,3,no,N,1858.94
44,21.85,3,no,N,1920.48
46,43.89,3,no,S,2253.92
46,30.8,3,no,E,2372.55
46,24.795,3,no,N,2394.15
48,34.3,3,no,E,2409.88
47,29.83,3,no,W,2424.31
45,39.995,3,no,N,2139.42
47,33.915,3,no,W,2548.98
48,30.78,3,no,N,2555.56
49,28.69,3,no,W,2586.63
49,32.3,3,no,W,2587.91
49,36.63,3,no,S,2616.14
27,30.4,3,no,W,2068.53
51,33.33,3,no,S,2661.25
53,36.6,3,no,E,2838.65
52,32.205,3,no,N,2895.05
53,28.1,3,no,E,2958.91
55,33.88,3,no,S,3020.78
54,30.8,3,no,E,3050.53
56,36.1,3,no,E,3115.6
54,21.47,3,no,W,3143.8
55,40.81,3,no,S,3146.42
55,25.365,3,no,N,3287.91
56,32.3,3,no,N,3384.43
50,28.16,3,no,S,3453.06
60,33.11,3,no,S,3507.78
59,27.72,3,no,S,3528.28
59,27.83,3,no,S,3528.32
59,32.1,3,no,E,3529.82
59,26.695,3,no,W,3624.45
59,32.395,3,no,N,3676.83
63,39.8,3,no,E,3822.87
63,41.325,3,no,W,3919.92
64,39.05,3,no,S,4053.45
64,30.115,3,no,W,4146.84
62,32.97,3,no,W,4942.28
50,27.83,3,no,S,4976.85
53,38.06,3,no,S,5156.68
27,20.045,3,yes,W,1806.26
28,23.98,3,yes,S,1942.94
30,24.4,3,yes,E,2008.51
31,25.9,3,yes,E,3041.27
35,24.42,3,yes,S,3066.94
25,29.7,3,yes,E,2192.68
30,28.69,3,yes,W,2282.06
39,24.89,3,yes,N,3430.93
23,31.73,3,yes,N,3980.8
31,34.39,3,yes,W,6137.43
35,34.105,3,yes,W,6333.37
30,39.05,3,yes,S,4502.56
49,23.845,3,yes,N,6074.94
52,24.32,3,yes,N,6267.18
53,22.61,3,yes,N,6268.09
54,25.1,3,yes,E,6396.33
18,26.18,2,no,S,230.4
20,31.13,2,no,S,256.65
18,32.12,2,no,S,280.13
19,20.615,2,no,W,280.37
19,23.4,2,no,E,291.36
20,31.79,2,no,S,305.64
21,23.75,2,no,W,338.48
21,21.89,2,no,S,349.86
21,25.745,2,no,N,360.79
18,38.665,2,no,N,339.34
26,23.7,2,no,E,383.27
23,39.27,2,no,S,385.07
24,28.5,2,no,W,389.15
21,33.63,2,no,W,393.78
28,23.8,2,no,E,423.25
32,28.88,2,no,W,612.52
26,30.875,2,no,W,426.5
22,34.58,2,no,N,431.84
26,29.92,2,no,S,438.02
27,33.155,2,no,W,446.46
30,44.22,2,no,S,469.28
28,33.0,2,no,S,478.45
28,22.515,2,no,N,487.18
28,26.98,2,no,N,487.86
31,38.39,2,no,S,706.97
26,29.355,2,no,N,502.06
32,37.18,2,no,S,740.27
32,46.53,2,no,S,742.33
28,23.845,2,no,W,519.17
30,43.12,2,no,S,522.9
33,35.75,2,no,S,774.58
29,20.235,2,no,W,539.7
29,32.11,2,no,W,541.52
31,23.6,2,no,E,781.16
31,36.63,2,no,S,784.05
31,27.645,2,no,N,796.96
32,29.8,2,no,E,816.09
33,24.605,2,no,W,832.79
33,32.9,2,no,E,851.4
36,34.43,2,no,S,884.56
35,34.77,2,no,W,907.47
35,43.34,2,no,S,926.15
34,37.335,2,no,W,948.74
38,34.7,2,no,E,963.45
37,28.03,2,no,W,982.7
37,29.5,2,no,E,999.82
37,30.8,2,no,S,1000.11
39,45.43,2,no,S,1006.84
35,23.465,2,no,N,1014.13
37,29.83,2,no,N,1014.78
38,27.835,2,no,W,1022.62
38,34.8,2,no,E,1040.93
40,29.9,2,no,E,1045.51
37,23.37,2,no,W,1059.13
39,24.51,2,no,W,1062.89
38,19.475,2,no,W,1098.21
40,32.3,2,no,W,1106.69
38,27.835,2,no,N,1131.75
40,22.705,2,no,N,1136.27
39,31.92,2,no,W,1141.98
34,27.0,2,no,E,1859.27
42,35.8,2,no,E,1546.58
42,35.97,2,no,S,1546.62
41,30.59,2,no,W,1567.45
41,34.2,2,no,W,1568.53
41,37.05,2,no,W,1569.4
41,37.1,2,no,E,1592.3
43,32.6,2,no,E,1607.36
42,29.48,2,no,S,1650.3
44,27.4,2,no,E,1669.01
42,26.125,2,no,N,1669.6
44,30.69,2,no,S,1669.98
44,37.1,2,no,E,1671.9
41,33.06,2,no,W,1673.83
42,24.985,2,no,W,1731.7
45,28.7,2,no,E,1734.05
44,32.015,2,no,W,1753.12
44,23.98,2,no,S,1773.6
44,29.81,2,no,S,1775.35
44,22.135,2,no,N,1793.34
43,30.685,2,no,W,1795.13
45,30.495,2,no,W,1817.32
45,28.6,2,no,S,1839.62
45,30.9,2,no,E,1840.32
45,36.3,2,no,S,1841.94
45,24.035,2,no,N,1858.57
46,28.9,2,no,E,2223.47
46,30.2,2,no,E,2223.93
48,30.2,2,no,E,2260.01
45,25.175,2,no,N,1964.54
46,19.95,2,no,W,2316.83
47,25.46,2,no,N,2324.77
49,37.51,2,no,S,2344.79
46,32.3,2,no,N,2371.57
46,48.07,2,no,N,2377.09
47,26.6,2,no,N,2448.38
49,42.68,2,no,S,2469.82
48,32.3,2,no,N,2530.89
29,29.735,2,no,W,1997.37
50,23.54,2,no,S,2547.02
49,23.18,2,no,W,2559.51
29,33.345,2,no,W,2138.66
51,36.67,2,no,W,2733.72
54,21.01,2,no,S,2775.46
53,26.7,2,no,E,2810.0
53,35.9,2,no,E,2813.23
52,31.73,2,no,W,2819.31
28,27.5,2,no,E,2219.55
53,26.41,2,no,N,2833.59
52,38.38,2,no,N,2872.02
54,46.7,2,no,E,2907.67
53,23.75,2,no,N,2955.89
55,29.7,2,no,E,2994.11
55,30.14,2,no,S,2994.26
50,31.6,2,no,E,3053.83
56,37.51,2,no,S,3090.91
55,32.78,2,no,W,3091.69
55,33.535,2,no,W,3091.97
56,33.82,2,no,W,3186.13
57,38.0,2,no,E,3186.85
59,29.7,2,no,S,3257.32
59,31.79,2,no,S,3258.05
57,34.295,2,no,N,3332.48
19,30.59,2,no,W,2405.97
58,31.825,2,no,N,3429.06
35,38.095,2,no,N,3946.54
61,32.3,2,no,W,3558.14
61,39.1,2,no,E,3587.25
64,25.6,2,no,E,3777.07
34,22.42,2,no,N,4336.35
62,38.095,2,no,N,3838.03
64,31.825,2,no,N,4049.42
43,35.31,2,no,S,4062.12
43,35.72,2,no,N,4135.24
18,17.29,2,yes,N,1282.95
26,17.195,2,yes,N,1590.12
27,17.955,2,yes,N,1650.73
36,22.6,2,yes,E,2947.56
34,25.3,2,yes,S,3005.24
40,22.22,2,yes,S,3079.98
35,27.74,2,yes,N,3323.88
32,17.765,2,yes,W,5185.09
18,31.68,2,yes,S,3430.32
43,20.045,2,yes,N,4276.39
23,32.78,2,yes,S,3962.31
26,32.9,2,yes,E,3969.37
45,22.895,2,yes,W,4557.3
23,36.67,2,yes,N,4236.28
31,36.3,2,yes,E,6131.82
30,37.8,2,yes,E,4316.55
37,34.8,2,yes,E,6310.1
40,32.775,2,yes,W,6336.53
39,35.3,2,yes,E,6352.46
49,25.6,2,yes,E,5873.24
25,45.54,2,yes,S,4632.34
49,25.84,2,yes,W,5999.42
51,24.795,2,yes,W,6039.78
52,25.3,2,yes,S,6216.18
29,35.5,2,yes,E,4904.41
18,29.37,1,no,S,171.94
18,33.77,1,no,S,172.56
18,35.2,1,no,S,172.75
19,20.9,1,no,E,183.21
19,24.6,1,no,E,183.72
19,28.4,1,no,E,184.25
20,33.0,1,no,E,198.01
21,22.3,1,no,E,231.34
18,24.09,1,no,S,220.11
23,27.36,1,no,W,306.8
26,29.15,1,no,S,319.32
26,46.53,1,no,S,321.98
21,16.815,1,no,N,348.42
25,25.84,1,no,N,364.08
26,19.8,1,no,E,371.68
26,29.48,1,no,S,373.16
26,29.92,1,no,S,373.23
26,42.4,1,no,E,375.13
26,32.49,1,no,N,383.96
27,23.21,1,no,S,391.81
27,34.8,1,no,E,393.58
30,31.4,1,no,E,402.52
28,37.62,1,no,S,414.36
31,39.49,1,no,S,613.91
29,29.59,1,no,S,434.21
30,24.13,1,no,W,443.54
29,28.975,1,no,N,444.47
32,30.03,1,no,S,645.4
28,25.935,1,no,W,454.7
30,32.4,1,no,E,456.47
30,33.33,1,no,S,456.61
30,27.645,1,no,N,466.08
31,28.595,1,no,W,672.18
28,28.88,1,no,N,477.15
31,29.26,1,no,S,689.12
31,26.885,1,no,N,703.48
30,28.405,1,no,W,497.99
32,37.335,1,no,N,739.35
30,22.895,1,no,N,519.14
31,32.68,1,no,W,750.55
35,27.1,1,no,E,751.82
35,30.5,1,no,E,752.57
35,38.6,1,no,E,754.35
33,18.5,1,no,E,754.93
34,26.41,1,no,W,853.04
36,29.92,1,no,S,867.72
38,28.27,1,no,S,868.74
38,31.0,1,no,E,869.35
34,33.25,1,no,N,886.22
38,28.93,1,no,S,946.35
38,30.69,1,no,S,946.73
38,28.025,1,no,N,961.03
38,37.05,1,no,N,963.02
39,21.85,1,no,W,969.01
39,26.22,1,no,W,969.98
39,32.5,1,no,E,988.15
38,40.565,1,no,W,1009.58
40,26.315,1,no,W,1012.08
40,29.81,1,no,S,1029.63
38,27.265,1,no,N,1038.33
40,34.105,1,no,N,1045.47
40,41.23,1,no,N,1047.04
40,25.46,1,no,N,1121.02
41,21.78,1,no,S,1354.86
41,28.8,1,no,E,1356.96
41,34.21,1,no,S,1358.59
33,42.46,1,no,S,1794.14
41,28.405,1,no,W,1439.58
42,33.155,1,no,N,1650.11
46,26.62,1,no,S,1951.01
47,32.3,1,no,E,2031.82
47,36.2,1,no,E,2033.19
47,47.52,1,no,S,2037.14
46,27.72,1,no,S,2074.62
46,28.05,1,no,S,2074.74
46,33.44,1,no,S,2076.63
46,33.345,1,no,N,2100.29
46,33.44,1,no,N,2100.32
46,39.425,1,no,N,2102.41
47,19.57,1,no,W,2123.88
47,23.6,1,no,E,2152.01
47,29.37,1,no,S,2154.03
47,36.0,1,no,E,2156.34
49,28.7,1,no,E,2193.28
46,33.725,1,no,N,2223.65
48,32.23,1,no,S,2235.55
47,29.545,1,no,W,2250.58
48,31.445,1,no,N,2258.96
50,44.77,1,no,S,2282.8
49,21.3,1,no,E,2313.92
48,28.88,1,no,W,2330.87
49,25.84,1,no,N,2339.19
49,31.35,1,no,N,2341.11
27,30.59,1,no,N,1847.6
51,35.97,1,no,S,2365.33
51,39.7,1,no,E,2366.6
48,27.265,1,no,N,2380.71
50,46.09,1,no,S,2406.5
49,22.61,1,no,W,2410.88
49,34.77,1,no,W,2415.14
50,27.455,1,no,N,2423.67
52,30.2,1,no,E,2450.57
49,30.78,1,no,N,2464.13
32,23.65,1,no,S,2791.98
51,21.56,1,no,S,2483.49
51,25.8,1,no,E,2484.97
51,34.2,1,no,E,2487.93
51,37.73,1,no,S,2489.16
51,39.5,1,no,E,2489.79
50,30.115,1,no,W,2497.42
53,21.4,1,no,E,2536.48
53,36.1,1,no,E,2541.62
50,27.075,1,no,N,2546.74
25,32.23,1,no,S,2004.0
54,29.2,1,no,E,2629.9
54,39.6,1,no,E,2633.55
53,31.16,1,no,W,2636.42
53,39.6,1,no,S,2666.09
52,30.78,1,no,N,2720.91
54,33.63,1,no,W,2727.97
53,24.795,1,no,W,2757.41
53,37.43,1,no,W,2761.85
29,29.64,1,no,N,2230.56
57,43.7,1,no,E,2917.18
56,35.8,1,no,E,2941.88
56,32.11,1,no,N,2964.28
55,32.395,1,no,N,2993.54
57,33.63,1,no,W,3010.17
58,32.01,1,no,S,3010.55
57,20.1,1,no,E,3032.13
56,26.6,1,no,W,3035.16
33,22.71,1,no,W,3482.34
59,27.5,1,no,E,3108.11
59,25.46,1,no,N,3254.33
28,24.32,1,no,N,2561.78
60,24.32,1,no,W,3304.38
60,28.7,1,no,E,3332.63
62,27.55,1,no,W,3512.31
64,39.16,1,no,S,3633.41
63,35.2,1,no,S,3647.63
20,35.31,1,no,S,2772.43
40,41.42,1,no,W,4510.7
57,23.98,1,no,S,5592.48
21,21.85,1,yes,N,1689.5
29,21.755,1,yes,N,1832.35
19,27.9,1,yes,E,1688.49
20,26.84,1,yes,S,1708.53
40,19.8,1,yes,S,2721.23
20,28.025,1,yes,W,1756.04
33,27.1,1,yes,E,3016.08
29,27.94,1,yes,S,2101.86
30,28.38,1,yes,S,2147.42
32,28.93,1,yes,S,3123.6
34,27.835,1,yes,W,3169.52
36,28.025,1,yes,N,3290.54
39,28.3,1,yes,E,3339.42
40,28.12,1,yes,N,3537.32
27,31.13,1,yes,S,3828.72
44,20.235,1,yes,N,4232.47
22,37.62,1,yes,S,4088.17
34,31.92,1,yes,N,5971.98
36,35.2,1,yes,S,6131.53
37,34.2,1,yes,N,6185.1
40,32.775,1,yes,N,6197.45
47,25.41,1,yes,S,5538.64
35,36.67,1,yes,N,6300.25
51,23.21,1,yes,S,5598.96
53,22.88,1,yes,S,5857.68
47,26.125,1,yes,N,5897.12
48,28.0,1,yes,E,5939.21
50,27.6,1,yes,E,6179.11
56,26.695,1,yes,W,6579.54
18,26.73,0,no,S,161.58
19,17.48,0,no,W,162.13
18,31.13,0,no,S,162.19
18,31.35,0,no,S,162.22
19,20.43,0,no,W,162.54
19,21.755,0,no,W,162.73
19,22.61,0,no,W,162.85
18,38.17,0,no,S,163.17
18,38.28,0,no,S,163.18
19,25.175,0,no,W,163.2
19,25.555,0,no,W,163.26
18,39.16,0,no,S,163.3
18,40.26,0,no,S,163.46
19,27.835,0,no,W,163.57
19,30.59,0,no,W,163.96
19,30.59,0,no,W,163.96
19,35.53,0,no,W,164.64
22,26.84,0,no,S,183.15
22,39.5,0,no,E,185.09
18,15.96,0,no,N,169.48
18,22.99,0,no,N,170.46
18,23.75,0,no,N,170.56
18,25.46,0,no,N,170.8
18,28.5,0,no,N,171.22
19,17.8,0,no,E,172.78
19,24.7,0,no,E,173.74
19,28.9,0,no,E,174.32
19,29.8,0,no,E,174.45
19,32.9,0,no,E,174.88
19,40.5,0,no,E,175.93
20,29.735,0,no,W,176.95
23,26.51,0,no,S,199.75
23,32.56,0,no,S,200.67
23,34.4,0,no,E,200.95
23,41.91,0,no,S,202.1
20,29.6,0,no,E,187.53
20,31.46,0,no,S,187.79
20,33.0,0,no,S,188.01
21,28.975,0,no,W,209.7
21,36.86,0,no,W,210.9
25,25.74,0,no,S,235.15
19,37.43,0,no,W,213.81
22,24.3,0,no,E,236.56
22,28.05,0,no,S,237.13
22,28.82,0,no,S,237.25
22,36.0,0,no,E,238.34
18,25.08,0,no,N,219.65
18,26.315,0,no,N,219.82
18,30.115,0,no,N,220.35
18,33.155,0,no,N,220.77
18,35.625,0,no,N,221.11
18,40.185,0,no,N,221.75
18,40.28,0,no,N,221.76
22,31.73,0,no,N,248.03
20,28.975,0,no,W,225.75
26,20.8,0,no,E,253.25
26,35.42,0,no,S,255.49
24,23.655,0,no,W,258.83
23,23.85,0,no,N,263.47
21,35.72,0,no,W,264.52
20,28.785,0,no,N,245.72
24,22.6,0,no,E,270.33
24,33.99,0,no,S,272.06
27,23.1,0,no,S,273.21
27,30.5,0,no,E,274.34
27,32.67,0,no,S,274.67
27,33.66,0,no,S,274.82
25,27.55,0,no,W,277.55
26,29.45,0,no,N,318.7
27,24.1,0,no,E,327.15
24,25.27,0,no,N,334.86
24,26.6,0,no,N,335.07
28,30.875,0,no,W,336.88
27,26.03,0,no,N,337.79
28,33.4,0,no,E,348.92
26,22.61,0,no,W,349.45
26,40.185,0,no,W,352.13
25,23.465,0,no,N,352.72
25,28.595,0,no,N,353.5
31,20.4,0,no,E,516.41
28,35.435,0,no,N,359.57
29,25.9,0,no,E,368.86
29,35.53,0,no,S,370.34
26,28.785,0,no,N,372.39
30,27.7,0,no,E,390.96
28,34.77,0,no,W,391.26
27,25.175,0,no,N,391.45
30,25.46,0,no,N,400.96
29,26.03,0,no,W,411.02
31,25.74,0,no,S,595.04
31,26.62,0,no,S,595.24
31,29.1,0,no,E,595.8
31,30.875,0,no,N,611.08
34,34.21,0,no,S,623.33
29,31.16,0,no,N,433.8
32,28.93,0,no,S,629.31
32,44.22,0,no,S,632.68
33,24.31,0,no,S,662.92
34,35.815,0,no,W,684.35
31,31.065,0,no,N,688.56
36,29.7,0,no,S,696.91
36,31.5,0,no,E,697.3
34,21.375,0,no,N,712.85
34,34.675,0,no,N,715.78
37,30.8,0,no,E,736.06
36,26.2,0,no,E,773.61
18,29.165,0,no,N,732.37
41,40.26,0,no,S,1233.19
