,sex,pclass,who,alone,fare,sex_,pclass_,who_,alone_,fare_,survived_
0,male,3,adult,False,7.25,1,2,0,0,18,0
1,female,1,adult,False,71.2833,0,0,0,0,207,1
2,female,3,adult,True,7.925,0,2,0,1,41,1
3,female,1,adult,False,53.1,0,0,0,0,189,1
4,male,3,adult,True,8.05,1,2,0,1,43,0
5,male,3,adult,True,8.4583,1,2,0,1,51,0
6,male,1,adult,True,51.8625,1,0,0,1,186,0
7,male,3,child,False,21.075,1,2,1,0,124,0
8,female,3,adult,False,11.1333,0,2,0,0,74,1
9,female,2,child,False,30.0708,0,1,1,0,154,1
10,female,3,child,False,16.7,0,2,1,0,110,1
11,female,1,adult,True,26.55,0,0,0,1,143,1
12,male,3,adult,True,8.05,1,2,0,1,43,0
13,male,3,adult,False,31.275,1,2,0,0,158,0
14,female,3,child,True,7.8542,0,2,1,1,36,0
15,female,2,adult,True,16.0,0,1,0,1,108,1
16,male,3,child,False,29.125,1,2,1,0,151,0
17,male,2,adult,True,13.0,1,1,0,1,85,1
18,female,3,adult,False,18.0,0,2,0,0,113,0
19,female,3,adult,True,7.225,0,2,0,1,16,1
20,male,2,adult,True,26.0,1,1,0,1,138,0
21,male,2,adult,True,13.0,1,1,0,1,85,1
22,female,3,child,True,8.0292,0,2,1,1,42,1
23,male,1,adult,True,35.5,1,0,0,1,168,1
24,female,3,child,False,21.075,0,2,1,0,124,0
25,female,3,adult,False,31.3875,0,2,0,0,159,1
26,male,3,adult,True,7.225,1,2,0,1,16,0
27,male,1,adult,False,263.0,1,0,0,0,245,0
28,female,3,adult,True,7.8792,0,2,0,1,38,1
29,male,3,adult,True,7.8958,1,2,0,1,40,0
30,male,1,adult,True,27.7208,1,0,0,1,145,0
31,female,1,adult,False,146.5208,0,0,0,0,235,1
32,female,3,adult,True,7.75,0,2,0,1,30,1
33,male,2,adult,True,10.5,1,1,0,1,72,0
34,male,1,adult,False,82.1708,1,0,0,0,219,0
35,male,1,adult,False,52.0,1,0,0,0,187,0
36,male,3,adult,True,7.2292,1,2,0,1,17,1
37,male,3,adult,True,8.05,1,2,0,1,43,0
38,female,3,adult,False,18.0,0,2,0,0,113,0
39,female,3,child,False,11.2417,0,2,1,0,75,1
40,female,3,adult,False,9.475,0,2,0,0,62,0
41,female,2,adult,False,21.0,0,1,0,0,123,0
42,male,3,adult,True,7.8958,1,2,0,1,40,0
43,female,2,child,False,41.5792,0,1,1,0,177,1
44,female,3,adult,True,7.8792,0,2,0,1,38,1
45,male,3,adult,True,8.05,1,2,0,1,43,0
46,male,3,adult,False,15.5,1,2,0,0,102,0
47,female,3,adult,True,7.75,0,2,0,1,30,1
48,male,3,adult,False,21.6792,1,2,0,0,125,0
49,female,3,adult,False,17.8,0,2,0,0,112,0
50,male,3,child,False,39.6875,1,2,1,0,175,0
51,male,3,adult,True,7.8,1,2,0,1,34,0
52,female,1,adult,False,76.7292,0,0,0,0,211,1
53,female,2,adult,False,26.0,0,1,0,0,138,1
54,male,1,adult,False,61.9792,1,0,0,0,200,0
55,male,1,adult,True,35.5,1,0,0,1,168,1
56,female,2,adult,True,10.5,0,1,0,1,72,1
57,male,3,adult,True,7.2292,1,2,0,1,17,0
58,female,2,child,False,27.75,0,1,1,0,146,1
59,male,3,child,False,46.9,1,2,1,0,179,0
60,male,3,adult,True,7.2292,1,2,0,1,17,0
62,male,1,adult,False,83.475,1,0,0,0,221,0
63,male,3,child,False,27.9,1,2,1,0,147,0
64,male,1,adult,True,27.7208,1,0,0,1,145,0
65,male,3,adult,False,15.2458,1,2,0,0,101,1
66,female,2,adult,True,10.5,0,1,0,1,72,1
67,male,3,adult,True,8.1583,1,2,0,1,46,0
68,female,3,adult,False,7.925,0,2,0,0,41,1
69,male,3,adult,False,8.6625,1,2,0,0,54,0
70,male,2,adult,True,10.5,1,1,0,1,72,0
71,female,3,adult,False,46.9,0,2,0,0,179,0
72,male,2,adult,True,73.5,1,1,0,1,208,0
73,male,3,adult,False,14.4542,1,2,0,0,94,0
74,male,3,adult,True,56.4958,1,2,0,1,193,1
75,male,3,adult,True,7.65,1,2,0,1,24,0
76,male,3,adult,True,7.8958,1,2,0,1,40,0
77,male,3,adult,True,8.05,1,2,0,1,43,0
78,male,2,child,False,29.0,1,1,1,0,150,1
79,female,3,adult,True,12.475,0,2,0,1,81,1
80,male,3,adult,True,9.0,1,2,0,1,58,0
81,male,3,adult,True,9.5,1,2,0,1,64,1
82,female,3,adult,True,7.7875,0,2,0,1,32,1
83,male,1,adult,True,47.1,1,0,0,1,180,0
84,female,2,adult,True,10.5,0,1,0,1,72,1
85,female,3,adult,False,15.85,0,2,0,0,106,1
86,male,3,adult,False,34.375,1,2,0,0,165,0
87,male,3,adult,True,8.05,1,2,0,1,43,0
88,female,1,adult,False,263.0,0,0,0,0,245,1
89,male,3,adult,True,8.05,1,2,0,1,43,0
90,male,3,adult,True,8.05,1,2,0,1,43,0
91,male,3,adult,True,7.8542,1,2,0,1,36,0
92,male,1,adult,False,61.175,1,0,0,0,198,0
93,male,3,adult,False,20.575,1,2,0,0,122,0
94,male,3,adult,True,7.25,1,2,0,1,18,0
95,male,3,adult,True,8.05,1,2,0,1,43,0
96,male,1,adult,True,34.6542,1,0,0,1,166,0
97,male,1,adult,False,63.3583,1,0,0,0,201,1
98,female,2,adult,False,23.0,0,1,0,0,129,1
99,male,2,adult,False,26.0,1,1,0,0,138,0
100,female,3,adult,True,7.8958,0,2,0,1,40,0
101,male,3,adult,True,7.8958,1,2,0,1,40,0
102,male,1,adult,False,77.2875,1,0,0,0,212,0
103,male,3,adult,True,8.6542,1,2,0,1,53,0
104,male,3,adult,False,7.925,1,2,0,0,41,0
105,male,3,adult,True,7.8958,1,2,0,1,40,0
106,female,3,adult,True,7.65,0,2,0,1,24,1
107,male,3,adult,True,7.775,1,2,0,1,31,1
108,male,3,adult,True,7.8958,1,2,0,1,40,0
109,female,3,adult,False,24.15,0,2,0,0,133,1
110,male,1,adult,True,52.0,1,0,0,1,187,0
111,female,3,child,False,14.4542,0,2,1,0,94,0
112,male,3,adult,True,8.05,1,2,0,1,43,0
113,female,3,adult,False,9.825,0,2,0,0,66,0
114,female,3,adult,True,14.4583,0,2,0,1,95,0
115,male,3,adult,True,7.925,1,2,0,1,41,0
116,male,3,adult,True,7.75,1,2,0,1,30,0
117,male,2,adult,False,21.0,1,1,0,0,123,0
118,male,1,adult,False,247.5208,1,0,0,0,243,0
119,female,3,child,False,31.275,0,2,1,0,158,0
120,male,2,adult,False,73.5,1,1,0,0,208,0
121,male,3,adult,True,8.05,1,2,0,1,43,0
122,male,2,adult,False,30.0708,1,1,0,0,154,0
123,female,2,adult,True,13.0,0,1,0,1,85,1
124,male,1,adult,False,77.2875,1,0,0,0,212,0
125,male,3,child,False,11.2417,1,2,1,0,75,1
126,male,3,adult,True,7.75,1,2,0,1,30,0
127,male,3,adult,True,7.1417,1,2,0,1,15,1
128,female,3,adult,False,22.3583,0,2,0,0,127,1
129,male,3,adult,True,6.975,1,2,0,1,10,0
130,male,3,adult,True,7.8958,1,2,0,1,40,0
131,male,3,adult,True,7.05,1,2,0,1,12,0
132,female,3,adult,False,14.5,0,2,0,0,96,0
133,female,2,adult,False,26.0,0,1,0,0,138,1
134,male,2,adult,True,13.0,1,1,0,1,85,0
135,male,2,adult,True,15.0458,1,1,0,1,98,0
136,female,1,adult,False,26.2833,0,0,0,0,140,1
137,male,1,adult,False,53.1,1,0,0,0,189,0
138,male,3,adult,True,9.2167,1,2,0,1,59,0
139,male,1,adult,True,79.2,1,0,0,1,216,0
140,female,3,adult,False,15.2458,0,2,0,0,101,0
141,female,3,adult,True,7.75,0,2,0,1,30,1
142,female,3,adult,False,15.85,0,2,0,0,106,1
143,male,3,adult,True,6.75,1,2,0,1,7,0
144,male,2,adult,True,11.5,1,1,0,1,76,0
145,male,2,adult,False,36.75,1,1,0,0,169,0
146,male,3,adult,True,7.7958,1,2,0,1,33,1
147,female,3,child,False,34.375,0,2,1,0,165,0
148,male,2,adult,False,26.0,1,1,0,0,138,0
149,male,2,adult,True,13.0,1,1,0,1,85,0
150,male,2,adult,True,12.525,1,1,0,1,82,0
151,female,1,adult,False,66.6,0,0,0,0,203,1
152,male,3,adult,True,8.05,1,2,0,1,43,0
153,male,3,adult,False,14.5,1,2,0,0,96,0
154,male,3,adult,True,7.3125,1,2,0,1,19,0
155,male,1,adult,False,61.3792,1,0,0,0,199,0
156,female,3,adult,True,7.7333,0,2,0,1,27,1
157,male,3,adult,True,8.05,1,2,0,1,43,0
158,male,3,adult,True,8.6625,1,2,0,1,54,0
159,male,3,adult,False,69.55,1,2,0,0,205,0
160,male,3,adult,False,16.1,1,2,0,0,109,0
