t,f,v1,v2,v3,v4,v5
5,9.50E-07,1.326178776,1.251137284,0.074693168,0.000346928,1.40E-06
10,7.83E-07,1.326702367,1.25228157,0.074072256,0.000347032,1.51E-06
15,1.34E-06,1.326492191,1.251824152,0.074319834,0.00034699,1.22E-06
20,3.45E-07,1.327654406,1.254332741,0.072972344,0.000347223,2.10E-06
25,1.55E-06,1.326796453,1.252486811,0.073961442,0.000347051,1.15E-06
30,1.40E-06,1.326970102,1.252863122,0.073758699,0.000347085,1.20E-06
35,9.24E-07,1.32745805,1.253913851,0.073195601,0.000347184,1.42E-06
40,3.61E-07,1.328469893,1.256062633,0.072057804,0.000347391,2.06E-06
45,6.12E-07,1.328529689,1.256189305,0.071991309,0.000347403,1.67E-06
50,1.34E-06,1.327837098,1.254724356,0.07276426,0.000347261,1.22E-06
55,4.31E-07,1.328799431,1.256754814,0.071695231,0.000347459,1.93E-06
60,6.77E-07,1.328885031,1.256934545,0.071601401,0.000347477,1.61E-06
65,2.84E-07,1.329828367,1.258888966,0.070589443,0.000347677,2.28E-06
70,1.09E-06,1.328846666,1.256854909,0.07164296,0.000347469,1.33E-06
75,5.10E-07,1.329507197,1.258227639,0.070930147,0.000347608,1.80E-06
80,4.03E-07,1.330109234,1.259465816,0.070293697,0.000347737,1.98E-06
85,1.14E-06,1.329294123,1.257787251,0.071158002,0.000347563,1.31E-06
90,1.66E-06,1.329051746,1.257283531,0.071419578,0.000347512,1.12E-06
95,1.66E-06,1.329201698,1.257595657,0.071257375,0.000347544,1.12E-06
100,8.27E-07,1.329833784,1.258901737,0.070582882,0.000347678,1.49E-06
105,1.08E-06,1.329899865,1.259037849,0.070512985,0.000347692,1.34E-06
110,2.95E-07,1.331017627,1.261310522,0.069356917,0.000347935,2.25E-06
115,8.04E-07,1.330703093,1.260676252,0.069677468,0.000347866,1.51E-06
120,9.82E-07,1.330560185,1.260386534,0.069824426,0.000347835,1.39E-06
125,1.58E-06,1.330313088,1.259884045,0.070080112,0.000347781,1.15E-06
130,1.54E-06,1.33046996,1.260203583,0.069917401,0.000347815,1.16E-06
135,1.57E-06,1.330632628,1.260534083,0.06974954,0.000347851,1.15E-06
140,3.71E-07,1.33173486,1.262748549,0.068636158,0.000348094,2.06E-06
145,8.97E-07,1.331538329,1.262357501,0.068831333,0.00034805,1.45E-06
150,5.71E-07,1.332023735,1.26332355,0.068350292,0.000348158,1.73E-06
155,1.41E-06,1.331459336,1.262199961,0.068910136,0.000348032,1.21E-06
160,1.50E-06,1.331523007,1.262327403,0.068846381,0.000348047,1.18E-06
165,1.43E-06,1.331711558,1.262703815,0.068658455,0.000348089,1.20E-06
170,1.44E-06,1.33187852,1.263036223,0.068492973,0.000348126,1.20E-06
175,1.27E-06,1.332122565,1.263520387,0.068252739,0.000348181,1.26E-06
180,6.58E-07,1.332764748,1.264785124,0.067629656,0.000348326,1.64E-06
185,1.41E-06,1.332442818,1.264153169,0.067940188,0.000348253,1.21E-06
190,7.60E-07,1.332988457,1.265223184,0.067415345,0.000348378,1.55E-06
195,9.35E-07,1.333083754,1.265409494,0.067324432,0.0003484,1.43E-06
200,4.52E-07,1.333808403,1.266814655,0.066643268,0.000348568,1.91E-06
205,4.98E-07,1.334136993,1.267447338,0.066339169,0.000348645,1.84E-06
210,1.36E-06,1.333351648,1.265931503,0.067070455,0.000348462,1.23E-06
215,8.10E-07,1.333784568,1.266769418,0.066665073,0.000348562,1.51E-06
220,7.06E-07,1.334126663,1.267427959,0.06634846,0.000348643,1.60E-06
225,1.34E-06,1.333802916,1.266805367,0.066647744,0.000348567,1.24E-06
230,1.46E-06,1.333864839,1.266924895,0.066590165,0.000348581,1.20E-06
